0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:57 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:57 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:16:51 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:16:52 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:16:52 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:23 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:24 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:24 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:34 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:34 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:34 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:50 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:50 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
